ga_session_id,user_id,country,device,session_start,session_end,events_count,add_to_cart_count,begin_checkout_count,purchase_count,converted,session_duration_seconds,session_revenue
0,7398,US,mobile,2020-12-28,2020-12-28,979,888,78,13,TRUE,3801,112
1,18764,US,mobile,2020-12-23,2020-12-23,960,876,78,6,TRUE,3717,355
2,26831,US,desktop,2020-12-15,2020-12-15,918,888,30,0,FALSE,7063,0
3,31259,ID,mobile,2020-11-27,2020-11-27,904,828,57,19,TRUE,4122,169
4,21761,BR,mobile,2020-12-27,2020-12-27,838,612,204,22,TRUE,1911,149
5,18702,TH,desktop,2020-12-10,2020-12-10,799,726,64,9,TRUE,4064,131
6,5644,CA,mobile,2021-01-18,2021-01-18,783,702,81,0,FALSE,6115,0
7,25730,US,mobile,2020-12-10,2020-12-10,782,648,126,8,TRUE,2472,142
8,22861,US,desktop,2020-12-11,2020-12-11,768,720,48,0,FALSE,2452,0
9,108,CA,desktop,2020-11-30,2020-11-30,745,511,216,18,TRUE,3097,298
10,9854,GB,desktop,2020-12-17,2020-12-17,744,744,0,0,FALSE,2106,0
11,2303,CA,desktop,2020-12-13,2020-12-13,740,480,240,20,TRUE,1790,219
12,13461,GB,desktop,2021-01-06,2021-01-06,734,685,42,7,TRUE,2714,89
13,1298,US,desktop,2020-12-16,2020-12-16,733,528,180,25,TRUE,3071,818
14,15152,US,desktop,2020-12-15,2020-12-15,731,696,28,7,TRUE,2579,77
15,1569,US,desktop,2020-12-18,2020-12-18,725,528,159,38,TRUE,3816,752
16,19299,CA,mobile,2020-12-11,2020-12-11,721,721,0,0,FALSE,3296,0
17,1296,US,mobile,2020-12-11,2020-12-11,666,600,44,22,TRUE,1730,216
18,14362,US,mobile,2020-12-18,2020-12-18,653,604,42,7,TRUE,1944,81
19,5644,CA,mobile,2021-01-20,2021-01-20,645,372,252,21,TRUE,5242,138
20,8475,CA,desktop,2020-12-22,2020-12-22,644,444,177,23,TRUE,2390,165
21,28759,CN,desktop,2020-12-18,2020-12-18,641,641,0,0,FALSE,1383,0
22,18240,AT,mobile,2020-11-26,2020-11-26,636,636,0,0,FALSE,3944,0
23,18044,MX,mobile,2020-11-30,2020-11-30,632,611,14,7,TRUE,2617,84
24,21966,IT,desktop,2021-01-24,2021-01-24,624,624,0,0,FALSE,1343,0
25,8459,US,desktop,2020-12-17,2020-12-17,623,528,76,19,TRUE,2281,168
26,6860,PS,tablet,2021-01-12,2021-01-12,579,552,21,6,TRUE,1815,98
27,13001,ES,desktop,2020-12-21,2020-12-21,578,485,93,0,FALSE,3063,0
28,20040,NL,mobile,2020-12-18,2020-12-18,574,418,144,12,TRUE,2835,187
29,7428,US,desktop,2020-12-28,2020-12-28,572,564,6,2,TRUE,2129,113
30,30997,US,desktop,2020-12-25,2020-12-25,567,552,15,0,FALSE,1159,0
31,18907,US,mobile,2020-12-05,2020-12-05,547,462,68,17,TRUE,1893,211
32,9074,CA,mobile,2021-01-11,2021-01-11,542,427,111,4,TRUE,4307,69
33,20347,MA,desktop,2020-12-31,2020-12-31,532,532,0,0,FALSE,5224,0
34,7729,US,desktop,2020-12-08,2020-12-08,528,528,0,0,FALSE,2243,0
35,30375,US,desktop,2020-12-26,2020-12-26,523,505,18,0,FALSE,2601,0
36,11816,US,desktop,2020-11-28,2020-11-28,518,492,13,13,TRUE,2936,217
37,8551,US,desktop,2020-12-11,2020-12-11,517,517,0,0,FALSE,4239,0
38,4809,US,desktop,2020-12-19,2020-12-19,512,480,30,2,TRUE,3052,38
39,21390,IN,desktop,2020-12-16,2020-12-16,512,377,108,27,TRUE,1174,112
40,21944,TR,mobile,2020-12-11,2020-12-11,510,480,24,6,TRUE,918,84
41,8649,UA,desktop,2020-12-12,2020-12-12,505,481,24,0,FALSE,3141,0
42,9110,PL,desktop,2020-12-17,2020-12-17,504,432,72,0,FALSE,3165,0
43,32057,ES,desktop,2020-12-16,2020-12-16,500,492,8,0,FALSE,1739,0
44,17823,US,mobile,2020-12-01,2020-12-01,497,456,34,7,TRUE,4008,41
45,13412,CA,desktop,2020-12-17,2020-12-17,494,484,10,0,FALSE,1805,0
46,30533,US,desktop,2020-12-27,2020-12-27,492,492,0,0,FALSE,726,0
47,26868,HK,desktop,2020-12-15,2020-12-15,489,444,36,9,TRUE,2271,225
48,30428,US,desktop,2020-12-15,2020-12-15,486,468,12,6,TRUE,1606,90
49,21468,BR,desktop,2020-12-16,2020-12-16,486,486,0,0,FALSE,856,0
50,6323,US,desktop,2020-12-13,2020-12-13,484,372,96,16,TRUE,1644,323
51,19255,IN,desktop,2020-12-11,2020-12-11,484,482,2,0,FALSE,2512,0
52,11152,US,desktop,2020-11-26,2020-11-26,482,472,10,0,FALSE,2390,0
53,13570,US,mobile,2020-12-23,2020-12-23,474,430,36,8,TRUE,3478,96
54,1591,US,mobile,2020-12-17,2020-12-18,474,456,12,6,TRUE,3059,133
55,32018,CL,desktop,2021-01-24,2021-01-24,474,474,0,0,FALSE,583,0
56,4935,US,mobile,2020-12-11,2020-12-11,472,433,26,13,TRUE,2597,61
57,11043,IN,mobile,2020-12-17,2020-12-17,469,406,54,9,TRUE,1155,151
58,21068,CA,mobile,2020-12-14,2020-12-14,463,400,54,9,TRUE,2642,110
59,21914,BR,mobile,2020-12-25,2020-12-25,456,432,24,0,FALSE,1438,0
60,26435,CA,desktop,2020-12-22,2020-12-22,455,378,66,11,TRUE,1921,50
61,25802,US,desktop,2020-12-09,2020-12-09,452,407,36,9,TRUE,1226,112
62,29367,US,mobile,2020-12-11,2020-12-11,452,428,24,0,FALSE,1360,0
63,26626,CA,desktop,2020-12-12,2020-12-12,452,452,0,0,FALSE,1616,0
64,3365,US,mobile,2020-12-23,2020-12-23,448,332,105,11,TRUE,3669,26
65,229597,US,mobile,2020-12-12,2020-12-12,447,348,88,11,TRUE,2624,231
66,23147,ID,desktop,2020-12-16,2020-12-16,447,443,4,0,FALSE,1067,0
67,28308,US,mobile,2020-12-14,2020-12-14,444,408,28,8,TRUE,2955,333
68,19256,US,mobile,2020-12-16,2020-12-16,444,444,0,0,FALSE,538,0
69,6606,IT,desktop,2020-11-18,2020-11-18,439,439,0,0,FALSE,1039,0
70,369,GR,mobile,2021-01-09,2021-01-09,435,372,54,9,TRUE,2568,89
71,16941,US,desktop,2020-12-02,2020-12-02,434,434,0,0,FALSE,2652,0
72,520,MY,desktop,2020-12-09,2020-12-09,432,408,16,8,TRUE,2085,329
73,1203,US,desktop,2020-12-20,2020-12-20,432,348,72,12,TRUE,2217,298
74,6013,IN,desktop,2021-01-02,2021-01-02,432,432,0,0,FALSE,1168,0
75,3283,IT,desktop,2021-01-19,2021-01-19,431,359,72,0,FALSE,1821,0
76,22285,PL,mobile,2020-12-02,2020-12-02,425,393,32,0,FALSE,1769,0
77,2560,AU,desktop,2020-12-02,2020-12-02,422,336,74,12,TRUE,2995,81
78,8861,IN,mobile,2020-12-15,2020-12-15,421,394,18,9,TRUE,2013,69
79,11419,CN,desktop,2020-12-09,2020-12-09,420,420,0,0,FALSE,1439,0
80,8584,US,desktop,2020-12-10,2020-12-10,420,420,0,0,FALSE,3732,0
81,19304,US,desktop,2020-12-01,2020-12-01,418,360,44,14,TRUE,2761,305
82,8422,GB,desktop,2020-12-18,2020-12-19,418,346,63,9,TRUE,2789,123
83,14827,FR,desktop,2021-01-25,2021-01-26,417,324,87,6,TRUE,2737,36
84,13198,US,desktop,2020-12-31,2020-12-31,414,372,42,0,FALSE,1674,0
85,3941,FR,mobile,2020-12-26,2020-12-26,408,360,36,12,TRUE,2990,93
86,31500,ID,mobile,2020-12-18,2020-12-18,408,324,75,9,TRUE,972,38
87,22300,NL,desktop,2020-12-07,2020-12-07,408,348,52,8,TRUE,1649,81
88,24946,US,desktop,2020-12-10,2020-12-10,408,384,24,0,FALSE,2051,0
89,17055,US,desktop,2021-01-12,2021-01-12,408,408,0,0,FALSE,569,0
90,25343,ID,mobile,2020-12-01,2020-12-01,407,407,0,0,FALSE,6510,0
91,6472,US,desktop,2020-12-08,2020-12-08,402,402,0,0,FALSE,947,0
92,21390,IN,desktop,2020-12-16,2020-12-16,402,402,0,0,FALSE,1579,0
93,22953,IN,mobile,2020-12-12,2020-12-12,399,324,60,15,TRUE,2268,162
94,9485,US,mobile,2020-12-17,2020-12-17,398,335,56,7,TRUE,4704,191
95,3690,NL,desktop,2020-11-30,2020-11-30,397,282,104,11,TRUE,14088,479
96,25572,ES,desktop,2021-01-08,2021-01-08,397,344,51,2,TRUE,2095,41
97,4996,US,desktop,2020-12-15,2020-12-15,396,348,42,6,TRUE,1783,46
98,30924,TW,desktop,2020-12-19,2020-12-19,396,396,0,0,FALSE,476,0
99,19139,US,desktop,2020-12-22,2020-12-22,396,396,0,0,FALSE,1580,0
100,21943,CN,desktop,2021-01-12,2021-01-12,394,362,24,8,TRUE,2163,201
101,25784,IN,mobile,2020-12-09,2020-12-09,394,330,64,0,FALSE,4034,0
102,6719,PT,mobile,2020-12-14,2020-12-14,393,358,30,5,TRUE,3074,84
103,30468,US,desktop,2020-12-15,2020-12-15,391,347,44,0,FALSE,2576,0
104,457,FI,mobile,2020-12-09,2020-12-09,390,348,34,8,TRUE,5749,193
105,9413,IN,mobile,2020-12-23,2020-12-23,390,368,21,1,TRUE,3296,29
106,1633,CN,mobile,2021-01-16,2021-01-16,387,372,12,3,TRUE,1657,120
107,26831,US,desktop,2020-12-16,2020-12-16,387,288,84,15,TRUE,1771,180
108,26642,FR,desktop,2020-12-12,2020-12-13,384,384,0,0,FALSE,4655,0
109,1913,US,mobile,2020-12-17,2020-12-17,384,384,0,0,FALSE,1370,0
110,14467,US,desktop,2020-11-28,2020-11-28,383,336,39,8,TRUE,2208,91
111,3282,ID,desktop,2021-01-19,2021-01-19,382,354,21,7,TRUE,3081,103
112,16096,CA,desktop,2020-12-26,2020-12-26,382,382,0,0,FALSE,902,0
113,8110,US,desktop,2020-12-31,2020-12-31,380,324,48,8,TRUE,2941,38
114,26596,ID,desktop,2020-12-12,2020-12-12,378,360,14,4,TRUE,1480,70
115,219,IN,mobile,2020-12-17,2020-12-17,378,360,18,0,FALSE,643,0
116,18172,US,desktop,2020-12-28,2020-12-28,378,378,0,0,FALSE,1991,0
117,25718,US,desktop,2020-12-09,2020-12-09,375,360,10,5,TRUE,2598,136
118,12137,US,mobile,2020-12-11,2020-12-11,375,252,104,19,TRUE,868,141
119,28943,US,mobile,2020-11-30,2020-11-30,375,279,72,24,TRUE,1295,781
120,4186,CL,desktop,2020-12-24,2020-12-24,374,360,12,2,TRUE,1235,88
121,29110,US,desktop,2020-11-26,2020-11-27,372,326,23,23,TRUE,2935,225
122,23030,US,mobile,2020-12-24,2020-12-24,372,372,0,0,FALSE,1600,0
123,25660,US,mobile,2020-12-19,2020-12-19,367,347,15,5,TRUE,1596,166
124,11221,US,desktop,2020-12-18,2020-12-18,364,364,0,0,FALSE,1007,0
125,26379,US,desktop,2020-12-12,2020-12-12,363,300,42,21,TRUE,1634,145
126,29661,US,desktop,2021-01-02,2021-01-02,363,323,30,10,TRUE,1464,234
127,1273,GB,desktop,2020-12-16,2020-12-16,363,363,0,0,FALSE,3267,0
128,5222,IN,mobile,2020-12-16,2020-12-16,362,276,82,4,TRUE,1713,87
129,14515,US,tablet,2020-11-27,2020-11-27,362,336,13,13,TRUE,2370,133
130,19528,PH,desktop,2020-12-15,2020-12-15,361,336,20,5,TRUE,4390,86
131,8598,MX,tablet,2020-12-11,2020-12-11,361,349,12,0,FALSE,2919,0
132,19105,US,mobile,2021-01-03,2021-01-03,360,336,18,6,TRUE,989,78
133,5322,US,desktop,2020-12-27,2020-12-27,360,360,0,0,FALSE,589,0
134,5482,IN,mobile,2020-12-16,2020-12-16,358,288,56,14,TRUE,1129,306
135,31227,US,desktop,2020-12-08,2020-12-08,356,304,44,8,TRUE,3832,155
136,17034,US,mobile,2021-01-18,2021-01-18,354,228,108,18,TRUE,1029,78
137,24917,CA,desktop,2021-01-19,2021-01-19,354,324,30,0,FALSE,1164,0
138,24306,US,mobile,2020-12-13,2020-12-13,351,252,88,11,TRUE,1633,105
139,11719,US,mobile,2020-12-14,2020-12-14,350,336,10,4,TRUE,2697,87
140,31041,FR,desktop,2020-12-21,2020-12-21,349,300,42,7,TRUE,1441,126
141,30962,CA,desktop,2020-12-04,2020-12-04,349,300,36,13,TRUE,11191,263
142,7025,KR,mobile,2020-12-23,2020-12-23,348,336,9,3,TRUE,1306,46
143,2183,IN,desktop,2021-01-22,2021-01-22,348,0,348,0,FALSE,954,0
144,6606,IT,desktop,2020-11-18,2020-11-18,348,348,0,0,FALSE,2486,0
145,4312,US,mobile,2020-12-04,2020-12-04,348,348,0,0,FALSE,621,0
146,24289,NL,desktop,2020-12-13,2020-12-13,348,348,0,0,FALSE,765,0
147,21555,US,desktop,2021-01-09,2021-01-09,348,348,0,0,FALSE,550,0
148,7659,US,mobile,2021-01-26,2021-01-26,348,348,0,0,FALSE,928,0
149,18438,US,mobile,2021-01-26,2021-01-26,348,348,0,0,FALSE,1058,0
150,22839,TW,desktop,2020-11-27,2020-11-27,348,348,0,0,FALSE,3774,0
151,26883,US,desktop,2020-12-15,2020-12-15,348,348,0,0,FALSE,1889,0
152,13118,PH,tablet,2021-01-01,2021-01-01,347,312,30,5,TRUE,1439,137
153,26549,UA,desktop,2020-12-11,2020-12-11,346,331,10,5,TRUE,530,108
154,7791,IN,desktop,2020-12-09,2020-12-09,345,295,40,10,TRUE,1794,145
155,4195,US,desktop,2020-12-23,2020-12-23,345,300,36,9,TRUE,1517,125
156,19968,KR,desktop,2021-01-21,2021-01-21,344,288,51,5,TRUE,3707,77
157,7297,CA,mobile,2020-11-29,2020-11-30,342,264,70,8,TRUE,6416,147
158,27861,US,mobile,2020-12-17,2020-12-17,341,336,4,1,TRUE,1641,14
159,31055,IE,mobile,2020-12-17,2020-12-17,339,324,15,0,FALSE,663,0
160,22534,US,mobile,2020-12-25,2020-12-25,336,336,0,0,FALSE,2760,0
161,7310,US,desktop,2020-11-27,2020-11-27,335,306,22,7,TRUE,1402,190
162,1945,US,mobile,2021-01-25,2021-01-25,334,264,63,7,TRUE,1386,67
163,21747,US,mobile,2020-12-09,2020-12-09,333,300,22,11,TRUE,618,162
164,25418,US,desktop,2020-12-13,2020-12-13,333,238,72,23,TRUE,5111,361
165,14382,CN,mobile,2021-01-09,2021-01-09,332,332,0,0,FALSE,304,0
166,22505,GB,desktop,2020-12-11,2020-12-11,331,305,22,4,TRUE,4123,60
167,14453,GR,mobile,2020-11-30,2020-11-30,330,282,32,16,TRUE,2690,337
168,346,US,desktop,2020-12-15,2020-12-15,329,324,4,1,TRUE,896,44
169,18903,IN,desktop,2020-12-08,2020-12-08,329,276,46,7,TRUE,1611,92
170,1147,ES,mobile,2021-01-04,2021-01-04,328,308,15,5,TRUE,1072,50
171,30936,CN,desktop,2020-12-18,2020-12-18,328,288,36,4,TRUE,1319,66
172,30312,US,desktop,2020-11-18,2020-11-18,328,300,0,28,TRUE,11184,393
173,14679,US,mobile,2020-12-16,2020-12-16,328,274,36,18,TRUE,1391,217
174,31500,ID,mobile,2020-12-17,2020-12-17,327,240,87,0,FALSE,852,0
175,28768,US,desktop,2021-01-09,2021-01-09,326,215,99,12,TRUE,2705,347
176,3963,GB,mobile,2020-12-18,2020-12-18,325,325,0,0,FALSE,905,0
177,17786,US,desktop,2020-12-23,2020-12-23,324,312,9,3,TRUE,912,165
178,29999,US,desktop,2021-01-04,2021-01-04,324,324,0,0,FALSE,1739,0
179,1563,IL,desktop,2020-12-15,2020-12-15,324,324,0,0,FALSE,5944,0
180,28754,US,desktop,2020-12-18,2020-12-18,323,323,0,0,FALSE,1860,0
181,30588,IN,desktop,2020-12-06,2020-12-06,322,276,42,4,TRUE,2211,58
182,9477,US,desktop,2020-12-21,2020-12-21,322,296,24,2,TRUE,1383,31
183,12757,US,mobile,2020-12-20,2020-12-20,321,276,45,0,FALSE,1340,0
184,30696,US,desktop,2021-01-12,2021-01-12,321,321,0,0,FALSE,1372,0
185,18162,CA,desktop,2020-12-08,2020-12-08,320,198,112,10,TRUE,3154,167
186,27552,IN,desktop,2021-01-23,2021-01-23,320,251,69,0,FALSE,6274,0
187,8215,US,desktop,2020-12-06,2020-12-07,319,234,68,17,TRUE,4562,185
188,29956,IN,desktop,2020-12-08,2020-12-08,318,312,4,2,TRUE,1233,29
189,8136,CO,mobile,2020-11-28,2020-11-28,315,276,26,13,TRUE,2662,95
190,17674,ES,desktop,2020-12-10,2020-12-10,314,264,44,6,TRUE,3174,112
191,12155,US,mobile,2020-12-10,2020-12-11,313,278,24,11,TRUE,2702,89
192,25764,US,desktop,2020-12-09,2020-12-10,313,300,10,3,TRUE,2035,35
193,31549,US,desktop,2020-12-14,2020-12-14,313,281,32,0,FALSE,2238,0
194,21547,PL,mobile,2020-12-18,2020-12-18,312,312,0,0,FALSE,568,0
195,12934,US,desktop,2020-12-04,2020-12-04,312,312,0,0,FALSE,1801,0
196,31098,ES,mobile,2021-01-29,2021-01-29,312,312,0,0,FALSE,2197,0
197,25157,IE,desktop,2021-01-09,2021-01-09,312,312,0,0,FALSE,749,0
198,15615,FR,mobile,2020-12-21,2020-12-21,311,216,90,5,TRUE,1434,43
199,17027,UA,mobile,2020-12-17,2020-12-17,310,289,14,7,TRUE,1237,204
200,541,CA,desktop,2020-12-09,2020-12-09,309,300,6,3,TRUE,1555,193
201,29628,MX,mobile,2021-01-05,2021-01-05,309,288,18,3,TRUE,1641,36
202,15169,US,mobile,2020-12-25,2020-12-25,309,204,105,0,FALSE,2221,0
203,27280,NL,desktop,2021-01-20,2021-01-20,308,216,84,8,TRUE,2266,98
204,5377,CO,mobile,2020-12-23,2020-12-23,308,308,0,0,FALSE,1298,0
205,12240,US,desktop,2020-12-12,2020-12-12,307,282,22,3,TRUE,2087,29
206,1222,US,desktop,2020-11-25,2020-11-25,306,306,0,0,FALSE,3942,0
207,21994,MA,desktop,2021-01-30,2021-01-30,306,306,0,0,FALSE,1401,0
208,26424,CA,desktop,2020-12-23,2020-12-23,304,228,60,16,TRUE,5659,327
209,2586,US,desktop,2020-12-17,2020-12-17,304,264,36,4,TRUE,1939,35
210,23698,US,desktop,2020-12-04,2020-12-04,304,274,24,6,TRUE,836,287
211,808,US,desktop,2021-01-05,2021-01-05,304,304,0,0,FALSE,2269,0
212,14970,US,desktop,2021-01-01,2021-01-01,303,240,54,9,TRUE,1850,92
213,21633,CA,desktop,2020-11-30,2020-11-30,303,288,12,3,TRUE,2238,105
214,26940,US,mobile,2021-01-03,2021-01-03,303,213,90,0,FALSE,852,0
215,7114,CA,mobile,2020-12-16,2020-12-16,300,264,24,12,TRUE,1388,186
216,11334,SG,tablet,2020-12-09,2020-12-09,300,276,24,0,FALSE,1293,0
217,20937,IN,desktop,2020-11-18,2020-11-18,300,300,0,0,FALSE,1384,0
218,14592,IN,desktop,2020-12-11,2020-12-11,300,300,0,0,FALSE,610,0
219,22944,IN,mobile,2020-12-12,2020-12-12,299,288,10,1,TRUE,2099,14
220,22339,US,mobile,2020-12-10,2020-12-10,299,276,18,5,TRUE,1324,91
221,1381,US,desktop,2020-12-13,2020-12-13,299,299,0,0,FALSE,806,0
222,23538,IN,mobile,2020-12-20,2020-12-20,298,256,36,6,TRUE,2456,90
223,18426,FR,desktop,2021-01-24,2021-01-24,298,228,63,7,TRUE,1543,299
224,4139,NO,mobile,2020-12-14,2020-12-14,297,288,6,3,TRUE,741,62
225,30832,IL,mobile,2021-01-25,2021-01-25,297,264,33,0,FALSE,1442,0
226,26366,US,mobile,2021-01-04,2021-01-04,296,240,54,2,TRUE,2063,123
227,21658,IN,desktop,2020-11-26,2020-11-26,296,283,13,0,FALSE,1168,0
228,13928,SG,desktop,2020-12-18,2020-12-18,295,246,42,7,TRUE,1375,62
229,29336,BR,mobile,2020-12-09,2020-12-09,294,272,18,4,TRUE,1390,174
230,15124,JP,desktop,2020-12-03,2020-12-03,294,240,54,0,FALSE,2007,0
231,17480,US,desktop,2020-12-14,2020-12-14,294,264,30,0,FALSE,659,0
232,27411,US,mobile,2020-12-17,2020-12-17,294,276,18,0,FALSE,1861,0
233,23549,CA,desktop,2021-01-24,2021-01-25,293,216,60,17,TRUE,2458,518
234,32059,US,mobile,2021-01-12,2021-01-12,293,293,0,0,FALSE,540,0
235,26166,ES,desktop,2020-12-05,2020-12-05,292,252,36,4,TRUE,2793,155
236,19537,FR,desktop,2020-12-15,2020-12-15,291,228,54,9,TRUE,1550,143
237,4389,PT,desktop,2021-01-01,2021-01-01,289,191,84,14,TRUE,1543,159
238,19139,US,desktop,2021-01-30,2021-01-30,289,289,0,0,FALSE,1256,0
239,28313,SG,mobile,2020-12-14,2020-12-14,288,273,10,5,TRUE,8113,57
240,3753,US,desktop,2020-11-19,2020-11-19,288,288,0,0,FALSE,11,0
241,5137,US,desktop,2020-12-30,2020-12-30,288,288,0,0,FALSE,1990,0
242,17627,JP,desktop,2021-01-12,2021-01-12,288,288,0,0,FALSE,321,0
243,30049,US,mobile,2020-12-22,2020-12-22,288,288,0,0,FALSE,1026,0
244,5854,KR,mobile,2021-01-22,2021-01-22,287,168,108,11,TRUE,2615,168
245,28444,ES,mobile,2021-01-13,2021-01-13,287,287,0,0,FALSE,3331,0
246,97,GB,desktop,2020-11-30,2020-11-30,286,286,0,0,FALSE,2198,0
247,8401,RU,desktop,2020-12-02,2020-12-02,285,205,76,4,TRUE,3726,57
248,15092,DE,desktop,2020-12-03,2020-12-03,285,252,22,11,TRUE,2302,178
249,4350,US,mobile,2020-12-01,2020-12-01,284,260,20,4,TRUE,2207,41
250,5633,AT,desktop,2021-01-12,2021-01-12,284,221,54,9,TRUE,619,77
251,25620,KR,desktop,2021-01-25,2021-01-25,283,200,72,11,TRUE,2760,79
252,14453,GR,desktop,2020-12-15,2020-12-15,282,241,34,7,TRUE,7497,100
253,3455,US,desktop,2020-12-16,2020-12-16,282,282,0,0,FALSE,702,0
254,1785,US,desktop,2021-01-10,2021-01-10,281,241,30,10,TRUE,2009,27
255,23792,CA,mobile,2020-12-21,2020-12-21,281,239,42,0,FALSE,1384,0
256,7639,US,desktop,2021-01-08,2021-01-08,281,263,18,0,FALSE,1249,0
257,15128,US,mobile,2020-11-29,2020-11-29,280,264,8,8,TRUE,2003,244
258,19336,US,mobile,2020-12-12,2020-12-12,280,262,16,2,TRUE,2028,62
259,28570,CA,mobile,2021-01-12,2021-01-12,280,180,90,10,TRUE,2399,135
260,29733,AU,desktop,2020-12-14,2020-12-14,279,36,232,11,TRUE,3663,213
261,8431,US,desktop,2020-12-23,2020-12-23,277,228,42,7,TRUE,3023,132
262,6237,CH,desktop,2020-12-16,2020-12-16,277,247,20,10,TRUE,2054,87
263,3431,US,mobile,2020-12-01,2020-12-01,277,277,0,0,FALSE,2643,0
264,15015,IN,mobile,2020-12-12,2020-12-12,276,264,8,4,TRUE,1486,62
265,14487,US,desktop,2020-11-30,2020-12-01,276,109,156,11,TRUE,20606,157
266,30335,US,desktop,2020-12-29,2020-12-29,276,227,42,7,TRUE,3196,69
267,16320,NL,desktop,2020-12-20,2020-12-20,276,216,54,6,TRUE,941,28
268,6015,ES,desktop,2021-01-06,2021-01-06,276,174,90,12,TRUE,1212,310
269,26840,AE,desktop,2020-12-14,2020-12-14,276,240,32,4,TRUE,3979,66
270,21071,IN,desktop,2020-12-14,2020-12-14,276,234,28,14,TRUE,1382,181
271,11028,PL,desktop,2020-12-23,2020-12-23,276,252,24,0,FALSE,1124,0
272,25933,GR,mobile,2020-12-03,2020-12-03,276,276,0,0,FALSE,2609,0
273,23039,US,desktop,2020-12-29,2020-12-29,276,276,0,0,FALSE,377,0
274,15803,IN,mobile,2020-12-12,2020-12-12,276,276,0,0,FALSE,575,0
275,14562,US,desktop,2020-12-15,2020-12-15,273,215,52,6,TRUE,3473,101
276,754,US,desktop,2020-11-28,2020-11-28,272,252,10,10,TRUE,2296,93
277,16513,US,desktop,2020-12-04,2020-12-04,272,227,30,15,TRUE,1886,191
278,10978,US,mobile,2020-11-29,2020-11-30,272,264,8,0,FALSE,2412,0
279,31098,ES,mobile,2021-01-20,2021-01-20,270,192,72,6,TRUE,1546,116
280,6365,US,mobile,2020-12-23,2020-12-23,270,240,27,3,TRUE,1948,49
281,1230,CA,mobile,2020-11-25,2020-11-25,270,240,15,15,TRUE,823,244
282,31908,IN,desktop,2021-01-07,2021-01-07,270,264,6,0,FALSE,552,0
283,4183,AU,desktop,2020-12-09,2020-12-09,270,228,42,0,FALSE,16196,0
284,2285,GB,desktop,2021-01-23,2021-01-23,270,192,78,0,FALSE,606,0
285,23252,TR,mobile,2021-01-14,2021-01-14,269,192,66,11,TRUE,1614,44
286,31537,MX,mobile,2021-01-29,2021-01-29,269,269,0,0,FALSE,864,0
287,28976,US,mobile,2020-12-25,2020-12-25,268,264,3,1,TRUE,672,14
288,5498,US,desktop,2020-12-16,2020-12-16,267,215,42,10,TRUE,1349,96
289,24889,US,mobile,2021-01-13,2021-01-13,267,264,3,0,FALSE,398,0
290,6967,US,desktop,2021-01-20,2021-01-20,266,228,33,5,TRUE,961,81
291,19933,CA,desktop,2020-12-10,2020-12-10,265,223,28,14,TRUE,655,128
292,10374,US,tablet,2020-12-14,2020-12-14,265,174,84,7,TRUE,3807,94
293,4281,BR,mobile,2020-12-02,2020-12-02,264,228,24,12,TRUE,1293,241
294,18565,US,desktop,2020-12-18,2020-12-18,264,240,21,3,TRUE,1907,28
295,27922,SG,desktop,2020-12-13,2020-12-13,264,240,24,0,FALSE,991,0
296,2606,US,mobile,2020-12-17,2020-12-17,264,264,0,0,FALSE,966,0
297,16632,CN,mobile,2021-01-22,2021-01-22,264,264,0,0,FALSE,627,0
298,16006,IN,mobile,2020-12-14,2020-12-14,264,264,0,0,FALSE,4573,0
299,22758,US,desktop,2020-12-29,2020-12-29,263,227,33,3,TRUE,1380,52
300,3963,GB,mobile,2021-01-20,2021-01-20,262,262,0,0,FALSE,1033,0
301,11565,DE,mobile,2020-12-11,2020-12-11,262,262,0,0,FALSE,1540,0
302,15113,US,desktop,2020-12-08,2020-12-08,261,240,14,7,TRUE,1046,79
303,28958,AE,desktop,2020-11-30,2020-11-30,260,168,84,8,TRUE,1545,115
304,13545,BR,mobile,2021-01-07,2021-01-07,260,240,15,5,TRUE,1481,51
305,12316,US,desktop,2020-12-29,2020-12-29,260,242,18,0,FALSE,1043,0
306,27322,IT,desktop,2020-12-19,2020-12-19,259,227,27,5,TRUE,5711,131
307,3791,CA,mobile,2020-12-13,2020-12-13,259,216,38,5,TRUE,867,36
308,18895,US,mobile,2020-12-05,2020-12-05,259,259,0,0,FALSE,4192,0
309,18463,DE,desktop,2020-12-09,2020-12-09,258,240,12,6,TRUE,2150,96
310,15928,US,mobile,2020-12-08,2020-12-08,258,240,12,6,TRUE,2176,147
311,3916,US,desktop,2020-11-26,2020-11-26,256,228,14,14,TRUE,3892,168
312,25327,NL,desktop,2020-12-27,2020-12-27,256,228,21,7,TRUE,1390,108
313,13402,US,mobile,2020-12-17,2020-12-17,256,256,0,0,FALSE,1510,0
314,9,CA,mobile,2020-11-30,2020-11-30,255,249,4,2,TRUE,1547,41
315,13857,US,mobile,2020-11-17,2020-11-17,255,240,0,15,TRUE,1147,225
316,12031,ES,desktop,2020-12-31,2020-12-31,254,201,45,8,TRUE,1657,125
317,30730,US,desktop,2021-01-10,2021-01-10,254,230,18,6,TRUE,2027,48
318,13258,IL,desktop,2020-11-27,2020-11-27,254,240,12,2,TRUE,4863,24
319,24277,CA,mobile,2021-01-30,2021-01-30,253,245,6,2,TRUE,1777,70
320,19435,DE,desktop,2021-01-02,2021-01-02,253,226,27,0,FALSE,715,0
